0 length 10022;
0 note 60 100;
336 note 60 0;
338 note 74 100;
538 note 75 100;
540 note 74 0;
641 note 75 0;
877 note 75 100;
1043 note 75 0;
1237 note 75 100;
1324 note 75 0;
1416 note 75 100;
1752 note 75 0;
1788 note 74 100;
2113 note 74 0;
2134 note 60 100;
2488 note 68 100;
2518 note 60 0;
2702 note 68 0;
2708 note 67 100;
2839 note 67 0;
3059 note 67 100;
3244 note 67 0;
3405 note 68 100;
3756 note 68 0;
3782 note 70 100;
4107 note 68 100;
4108 note 70 0;
4289 note 67 100;
4311 note 68 0;
4623 note 68 100;
4689 note 67 0;
5024 note 60 100;
5039 note 68 0;
5377 note 74 100;
5405 note 60 0;
5580 note 75 100;
5589 note 74 0;
5791 note 75 0;
5957 note 75 100;
6302 note 74 100;
6312 note 75 0;
6633 note 74 0;
6651 note 72 100;
6812 note 74 100;
6823 note 72 0;
7083 note 74 0;
7193 note 70 100;
7440 note 70 0;
7537 note 70 100;
7869 note 70 0;
7878 note 68 100;
8075 note 68 0;
8076 note 70 100;
8287 note 70 0;
8445 note 72 100;
9204 note 72 0;
9329 note 72 100;
9530 note 72 0;
9698 note 72 100;
9871 note 72 0;
