0 length 5770;
0 note 65 100;
351 note 65 0;
372 note 68 100;
701 note 68 0;
729 note 67 100;
1136 note 67 0;
1267 note 60 100;
1399 note 60 0;
1613 note 60 100;
1751 note 60 0;
1935 note 60 100;
2154 note 60 0;
2179 note 63 100;
2403 note 63 0;
2565 note 65 100;
2769 note 65 0;
2915 note 65 100;
3278 note 68 100;
3283 note 65 0;
3588 note 68 0;
3597 note 67 100;
3854 note 67 0;
3958 note 67 100;
4056 note 67 0;
4149 note 70 100;
4286 note 70 0;
4509 note 70 100;
4637 note 70 0;
4862 note 70 100;
5048 note 70 0;
5058 note 68 100;
5217 note 68 0;
5232 note 67 100;
5340 note 67 0;
5436 note 67 100;
5652 note 67 0;
