0 length 5731;
0 note 60 100;
156 note 60 0;
350 note 60 100;
520 note 60 0;
700 note 60 100;
899 note 60 0;
1251 note 60 100;
1399 note 60 0;
1620 note 60 100;
1724 note 60 0;
1979 note 60 100;
2156 note 60 0;
2162 note 68 100;
2307 note 68 0;
2499 note 67 100;
2651 note 67 0;
2858 note 60 100;
3007 note 60 0;
3228 note 60 100;
3327 note 60 0;
3602 note 60 100;
3765 note 60 0;
4137 note 60 100;
4295 note 60 0;
4525 note 60 100;
4647 note 60 0;
4874 note 60 100;
5013 note 60 0;
5058 note 63 100;
5175 note 63 0;
5396 note 62 100;
5493 note 62 0;
